Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2016-05-27,218.0,218.9,211.8,212.6,213.0,6696058.0,14397.47
2016-05-26,211.0,221.15,210.7,214.0,216.05,9013234.0,19402.47
2016-05-25,208.7,210.75,208.15,210.0,210.15,2072299.0,4347.1
2016-05-24,208.5,208.7,204.55,207.0,206.65,2725001.0,5610.02
2016-05-23,214.2,214.5,207.5,207.95,208.15,3897089.0,8162.92
2016-05-20,211.8,214.65,210.45,213.0,213.1,3051322.0,6500.74
2016-05-19,213.0,213.25,209.2,209.45,210.05,4493585.0,9470.45
2016-05-18,210.3,215.3,209.6,213.65,214.25,5888150.0,12573.45
2016-05-17,205.6,212.0,205.1,210.3,210.25,9771619.0,20447.86
2016-05-16,204.4,204.9,200.0,202.1,202.6,6728337.0,13568.15
2016-05-13,205.95,205.95,202.0,203.4,203.75,4841380.0,9863.1
2016-05-12,208.1,208.45,204.75,206.2,206.3,4707558.0,9690.8
2016-05-11,206.95,206.95,203.1,205.6,205.25,3654058.0,7508.52
2016-05-10,211.95,211.95,206.3,208.1,207.9,2616101.0,5446.8
2016-05-09,209.9,212.5,209.1,212.4,211.6,2672433.0,5635.99
2016-05-06,210.55,210.65,207.1,208.3,208.45,2218549.0,4625.97
2016-05-05,211.95,213.25,210.0,210.2,210.5,3060130.0,6469.88
2016-05-04,214.8,215.3,210.0,210.15,210.65,2831831.0,6009.77
2016-05-03,219.05,219.7,213.0,215.45,215.3,3870928.0,8388.14
2016-05-02,218.0,220.9,216.0,217.9,217.75,3274574.0,7154.08
2016-04-29,218.05,220.75,215.6,217.35,217.25,4058978.0,8856.25
2016-04-28,222.3,225.4,215.25,218.1,216.85,7731894.0,16972.86
2016-04-27,216.0,223.75,215.9,221.75,221.8,7024295.0,15560.58
2016-04-26,212.2,215.6,210.95,214.8,214.3,2760063.0,5900.13
2016-04-25,216.45,216.45,211.7,212.5,212.3,1875884.0,4007.18
2016-04-22,215.9,217.35,212.65,215.65,216.1,2998135.0,6466.92
2016-04-21,212.15,214.45,211.75,213.1,212.95,4691426.0,10005.46
2016-04-20,208.9,210.7,208.05,209.65,209.85,3213606.0,6742.53
2016-04-18,211.75,211.75,206.1,207.15,207.55,3300134.0,6848.91
2016-04-13,215.0,215.4,212.8,213.0,213.35,4291748.0,9192.49
2016-04-12,207.85,212.65,207.15,210.85,211.35,4228853.0,8902.73
2016-04-11,208.6,209.25,205.2,207.7,207.6,3461763.0,7172.65
2016-04-08,207.8,209.45,205.65,206.15,206.15,1612169.0,3339.43
2016-04-07,209.05,209.5,206.7,207.1,207.75,3363385.0,6991.82
2016-04-06,206.7,208.0,204.0,207.0,206.1,2878339.0,5911.36
2016-04-05,206.0,208.5,204.05,205.5,205.5,3271181.0,6722.35
2016-04-04,208.45,208.65,204.55,207.8,207.3,3662685.0,7549.49
2016-04-01,214.5,214.95,208.1,209.35,208.8,6844130.0,14363.2
2016-03-31,214.7,217.55,212.15,214.15,214.1,12174420.0,26098.88
2016-03-30,213.0,219.0,212.3,217.8,217.9,3899882.0,8456.69
2016-03-29,215.95,216.0,210.7,212.25,212.25,3335457.0,7076.77
2016-03-28,216.5,218.7,212.4,214.0,213.95,4803983.0,10294.45
2016-03-23,216.4,217.75,211.9,214.5,214.6,3985485.0,8522.35
2016-03-22,216.65,219.15,215.0,216.25,216.1,4407038.0,9534.66
2016-03-21,214.0,217.5,213.0,217.0,216.65,3867830.0,8350.91
2016-03-18,213.75,215.0,212.5,214.2,214.6,4517487.0,9684.52
2016-03-17,208.55,214.9,208.5,211.3,212.25,5596216.0,11873.61
2016-03-16,207.3,208.75,204.9,206.15,206.5,3459103.0,7142.02
2016-03-15,205.26,207.15,204.31,206.85,206.65,3682955.31,7573.85
2016-03-14,206.75,208.24,205.01,206.95,207.5,5017241.35,10374.07
2016-03-11,206.85,206.85,201.47,204.81,204.36,9542584.9,19422.0
2016-03-10,208.19,208.19,203.61,204.26,204.96,9011168.19,18536.09
2016-03-09,201.27,205.26,200.57,205.11,204.51,5144480.47,10463.0
2016-03-08,202.02,205.6,200.27,201.12,201.12,8202191.77,16640.36
2016-03-04,199.18,203.66,198.28,200.22,199.97,15069859.64,30310.43
2016-03-03,195.79,200.12,193.05,196.44,196.49,11285306.93,22185.06
2016-03-02,193.7,196.59,191.41,194.29,194.25,10387534.41,20151.3
2016-03-01,193.2,193.2,187.87,191.31,190.81,15468033.51,29445.84
2016-02-29,216.46,220.3,191.8,192.1,193.4,15930847.14,32222.41
2016-02-26,216.61,217.76,213.33,214.57,215.27,2814059.2,6064.3
2016-02-25,211.63,217.01,208.84,216.22,215.47,3866304.33,8249.78
2016-02-24,212.03,212.03,207.45,208.19,208.64,1751771.76,3667.02
2016-02-23,214.92,217.01,211.08,213.03,213.82,2404272.33,5154.07
2016-02-22,211.23,214.32,209.94,214.22,213.62,2409942.84,5125.16
2016-02-19,206.2,211.33,205.26,210.24,210.39,3625824.71,7541.41
2016-02-18,202.91,209.84,202.27,206.85,208.34,5218646.67,10802.7
2016-02-17,199.28,201.27,196.49,199.28,199.63,4877651.57,9716.24
2016-02-16,202.91,205.35,197.38,198.88,199.23,7019392.53,14130.12
2016-02-15,197.88,200.47,193.95,198.53,199.63,4789188.67,9501.63
2016-02-12,199.28,199.28,187.07,192.85,192.55,6759546.88,13042.03
2016-02-11,213.03,213.13,199.33,200.72,202.42,5879292.7,12053.79
2016-02-10,213.08,215.22,210.04,213.43,212.73,2721012.73,5789.78
2016-02-09,210.14,218.76,209.74,216.02,217.36,2443332.58,5264.04
2016-02-08,219.2,219.4,210.88,211.23,213.28,1849427.9,3989.03
2016-02-05,219.5,221.05,216.76,219.8,219.15,3820930.25,8364.2
2016-02-04,217.11,219.7,215.47,218.96,219.2,4025584.32,8799.31
2016-02-03,212.93,216.22,209.54,213.62,212.28,3241031.22,6874.55
2016-02-02,221.4,223.59,214.62,216.41,215.77,4617016.06,10080.58
2016-02-01,226.98,226.98,220.75,223.94,224.24,2557743.31,5712.04
2016-01-29,220.5,227.03,220.2,224.68,225.43,8537365.83,19157.33
2016-01-28,217.21,220.0,214.47,218.51,219.1,5861868.69,12787.46
2016-01-27,218.91,220.95,216.22,217.71,217.61,4512360.6,9891.0
2016-01-25,219.6,220.45,215.77,219.01,218.86,3254464.8,7111.31
2016-01-22,211.18,216.22,209.04,215.52,215.47,4853375.78,10351.25
2016-01-21,212.88,213.97,205.21,205.45,206.55,5941213.62,12358.95
2016-01-20,213.33,214.32,208.44,213.23,212.53,4361711.82,9215.77
2016-01-19,214.82,218.61,210.74,217.21,217.21,2541128.23,5466.09
2016-01-18,216.22,217.21,210.49,214.02,213.62,3836563.78,8200.83
2016-01-15,223.59,223.59,217.01,217.31,218.66,3019306.42,6640.2
2016-01-14,220.15,224.68,215.82,222.79,222.44,4364835.12,9643.26
2016-01-13,222.19,223.14,216.76,222.74,222.39,3602745.25,7936.13
2016-01-12,223.19,223.49,219.2,221.3,220.55,3709195.19,8167.21
2016-01-11,225.18,226.43,221.35,224.83,224.68,4291114.53,9627.78
2016-01-08,227.18,230.96,224.83,230.36,229.32,4615569.83,10559.38
2016-01-07,230.16,233.05,223.24,225.18,225.78,5091335.29,11497.24
2016-01-06,241.12,241.42,233.8,236.14,236.69,2012083.1,4797.84
2016-01-05,239.13,243.37,238.19,240.93,240.98,2439697.44,5875.77
2016-01-04,240.13,243.91,234.8,237.64,237.19,2090982.41,5012.29
2016-01-01,239.03,242.52,237.24,240.68,241.62,1854691.94,4460.82
2015-12-31,238.63,242.92,234.3,239.08,240.88,4415075.8,10574.75
2015-12-30,239.13,241.92,238.53,239.13,239.03,2628091.71,6293.22
2015-12-29,239.13,240.98,236.59,239.13,238.88,2377165.31,5664.41
2015-12-28,233.15,240.43,233.15,238.43,239.33,3543897.44,8434.11
2015-12-24,237.14,238.93,232.46,233.4,233.0,2936313.3,6902.86
2015-12-23,232.06,235.55,230.41,235.25,234.7,4028803.96,9420.5
2015-12-22,229.62,231.66,227.47,229.62,229.72,3075670.24,7067.95
2015-12-21,222.19,230.21,220.9,230.21,229.62,3344974.1,7630.3
2015-12-18,222.19,223.99,220.4,223.49,222.44,4818475.57,10698.1
2015-12-17,225.18,225.48,219.2,224.54,223.99,6175327.22,13704.47
2015-12-16,218.91,226.78,216.56,224.98,225.83,5596031.37,12557.73
2015-12-15,214.22,217.81,212.53,217.51,217.01,3291577.0,7113.11
2015-12-14,211.73,213.82,210.49,212.73,212.63,3197404.46,6784.89
2015-12-11,218.71,220.0,213.62,214.52,214.57,4368393.99,9423.25
2015-12-10,217.11,220.1,214.02,219.2,219.01,4582372.78,10003.23
2015-12-09,214.22,217.21,212.13,216.66,216.31,4231093.48,9074.72
2015-12-08,221.2,221.45,213.28,213.72,214.97,5884414.22,12744.65
2015-12-07,227.23,227.67,221.99,223.29,223.09,2422810.37,5408.16
2015-12-04,226.93,230.26,225.23,226.48,226.38,3427864.85,7776.34
2015-12-03,232.26,233.05,227.28,228.47,228.87,4968755.01,11459.63
2015-12-02,236.24,237.14,232.46,234.35,234.95,2088408.1,4900.38
2015-12-01,233.7,237.59,232.21,234.25,234.75,2372365.95,5594.9
2015-11-30,233.15,235.05,229.37,233.4,233.3,3946564.57,9182.72
2015-11-27,235.64,237.89,233.5,234.6,234.55,1909588.45,4488.94
2015-11-26,232.26,236.04,230.96,234.4,234.0,5487111.5,12808.39
2015-11-24,231.16,237.49,228.92,232.01,231.96,3465681.6,8126.46
2015-11-23,234.15,235.05,230.16,230.66,230.86,1536311.61,3573.63
2015-11-20,232.95,234.9,230.51,232.66,233.2,1740673.62,4063.94
2015-11-19,231.91,232.85,228.42,231.66,232.16,1906791.34,4410.17
2015-11-18,230.21,231.91,228.12,229.47,229.87,2584165.86,5937.19
2015-11-17,230.16,232.41,225.88,231.96,231.51,6313175.71,14441.56
2015-11-16,227.57,230.07,220.45,229.52,229.32,4375064.11,9878.4
2015-11-13,232.21,232.66,227.18,228.87,228.07,4602112.16,10540.57
2015-11-11,238.04,238.53,235.64,235.89,236.14,243873.9,577.48
2015-11-10,244.21,246.9,234.75,236.14,235.84,3908727.74,9297.11
2015-11-09,240.89,245.58,239.76,243.53,243.91,2775267.86,6755.15
2015-11-06,243.33,251.06,242.64,246.56,246.02,4098117.35,10105.37
2015-11-05,244.6,248.32,244.25,245.73,245.24,3301506.38,8136.04
2015-11-04,248.07,248.71,244.4,246.56,246.65,2502419.94,6155.45
2015-11-03,241.86,246.07,240.0,246.02,245.28,1883620.98,4586.87
2015-11-02,241.61,243.43,236.92,243.09,242.05,1381912.33,3316.34
2015-10-30,244.5,245.09,238.82,241.66,241.61,3459069.99,8377.63
2015-10-29,249.49,249.73,244.65,245.58,245.43,7711384.22,18936.36
2015-10-28,240.3,247.04,238.1,245.97,246.36,5915750.9,14300.07
2015-10-27,247.98,248.71,241.91,242.15,242.55,5033844.43,12243.6
2015-10-26,251.45,255.16,248.91,250.47,250.91,2572987.3,6482.53
2015-10-23,249.49,255.36,249.44,251.55,251.75,2327759.01,5891.24
2015-10-21,246.56,252.32,246.07,247.63,247.98,1640813.99,4089.75
2015-10-20,250.08,251.7,246.56,246.8,247.68,2438923.33,6067.82
2015-10-19,258.39,258.64,250.47,252.42,252.28,1835666.08,4656.64
2015-10-16,255.36,259.57,251.45,258.29,258.39,2189009.83,5599.28
2015-10-15,251.55,255.36,248.61,254.87,254.53,2355146.62,5964.81
2015-10-14,248.52,257.62,247.93,250.27,249.49,3025577.93,7598.38
2015-10-13,253.94,255.6,246.8,248.56,248.42,3162212.43,7881.93
2015-10-12,258.05,261.97,256.64,258.2,257.71,2891176.65,7489.96
2015-10-09,255.36,259.28,254.58,256.93,257.95,5802240.92,14951.19
2015-10-08,254.78,254.78,246.8,251.3,252.09,3635474.59,9133.66
2015-10-07,245.58,255.21,245.58,254.39,252.18,6746533.02,16836.39
2015-10-06,235.79,243.28,234.43,241.71,242.01,5222123.54,12535.39
2015-10-05,228.95,235.99,224.06,235.06,235.31,3599831.64,8302.0
2015-10-01,224.4,228.95,223.07,226.99,227.33,2835743.22,6400.59
2015-09-30,223.57,225.81,217.3,225.03,224.4,5243054.68,11626.43
2015-09-29,218.97,222.49,213.0,221.37,221.51,5178379.6,11324.58
2015-09-28,223.32,223.52,219.25,220.34,220.24,2948091.1,6502.21
2015-09-24,231.49,231.49,221.22,222.19,222.58,6111109.94,13700.96
2015-09-23,225.13,232.81,224.78,231.73,231.44,2212975.52,5061.48
2015-09-22,236.58,236.58,228.11,230.03,229.44,3799825.81,8784.12
2015-09-21,230.7,234.67,229.93,233.59,233.79,1876912.05,4374.27
2015-09-18,226.11,235.99,224.93,234.92,234.03,6597541.58,15329.17
2015-09-16,227.77,227.77,223.32,225.76,225.52,2885152.53,6505.05
2015-09-15,224.93,226.89,220.92,224.3,224.35,2494824.88,5591.89
2015-09-14,224.93,225.42,221.12,223.66,224.68,2142056.57,4787.97
2015-09-11,223.71,226.89,222.29,224.15,223.42,3975562.99,8925.88
2015-09-10,223.57,224.88,218.87,224.01,221.99,4414293.21,9740.55
2015-09-09,228.01,228.55,224.3,225.57,225.42,7546502.53,17026.22
2015-09-08,223.03,225.52,219.25,225.03,224.93,4661418.48,10398.61
2015-09-07,222.09,223.42,218.72,220.63,221.17,3627721.1,8011.26
2015-09-04,227.12,227.12,216.0,220.83,220.19,5016096.55,11007.54
2015-09-03,223.31,226.3,221.12,224.0,223.7,2486013.5,5572.92
2015-09-02,228.58,229.91,219.02,219.94,219.84,6458971.23,14452.72
2015-09-01,237.03,237.57,227.17,228.93,228.53,6851595.05,15945.95
2015-08-31,241.81,242.5,232.05,233.66,233.61,6617217.82,15738.55
2015-08-28,233.22,240.54,232.25,237.37,237.86,7483627.71,17753.75
2015-08-27,226.49,227.85,220.68,226.49,224.82,7944209.93,17862.14
2015-08-26,225.51,230.98,217.7,218.43,219.5,4948170.93,11130.58
2015-08-25,225.26,229.86,218.92,226.49,225.17,7418449.39,16630.88
2015-08-24,244.06,244.83,220.83,223.31,222.29,12980989.11,29775.45
2015-08-21,248.01,251.28,245.13,249.61,249.86,4516138.34,11212.86
2015-08-20,251.87,252.55,248.06,250.45,249.71,4902377.4,12233.44
2015-08-19,253.82,256.56,250.99,254.41,254.41,3900404.1,9903.66
2015-08-18,259.68,260.22,253.82,254.5,254.6,2839024.71,7288.96
2015-08-17,263.68,263.72,255.23,257.72,257.72,5337053.83,13755.85
2015-08-14,265.59,266.99,261.68,263.72,263.97,2593224.95,6851.06
2015-08-13,264.56,267.49,259.34,264.17,263.33,4668081.09,12323.15
2015-08-12,263.58,266.02,259.29,263.97,262.95,4153843.45,10912.37
2015-08-11,270.08,270.08,262.65,263.23,263.63,1822031.39,4847.4
