Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-01-12,362.7,363.95,351.6,355.4,355.0,8363062.0,29802.41
2016-01-11,343.9,364.75,341.65,360.45,360.2,10576721.0,37789.27
2016-01-08,345.6,355.85,345.6,353.9,353.35,8770370.0,30869.1
2016-01-07,356.25,358.0,338.1,344.8,343.55,11782307.0,40981.9
2016-01-06,375.5,364.6,365.0,365.9,370.04,7211230.0,26684.1
2016-01-05,382.45,372.1,373.0,374.45,377.36,6901068.0,26041.68
2016-01-04,400.1,375.05,376.15,377.05,383.74,7822660.0,30019.0
2016-01-01,392.5,403.0,373.0,401.8,401.9,4377363.0,17432.46
2015-12-31,394.0,395.75,389.15,391.6,391.3,6410622.0,25119.96
2015-12-30,392.0,395.0,390.5,394.0,393.45,4866177.0,19129.43
2015-12-29,392.9,397.5,388.75,390.7,391.85,7359611.0,28919.66
2015-12-28,384.9,395.0,383.75,394.85,394.0,7166351.0,28058.98
2015-12-24,380.9,384.75,377.6,382.35,382.4,4568751.0,17470.67
2015-12-23,379.9,380.85,377.5,378.7,378.45,3953766.0,14986.57
2015-12-22,380.9,382.8,377.2,377.55,378.1,3802024.0,14453.67
2015-12-21,379.1,382.55,377.5,380.15,380.15,4015631.0,15237.81
2015-12-18,381.9,384.8,376.8,379.0,378.25,6454322.0,24600.61
2015-12-17,385.0,387.0,376.05,382.15,382.95,7604665.0,29009.89
2015-12-16,375.9,385.0,372.85,380.15,380.45,11874858.0,45176.92
2015-12-15,371.25,380.95,365.5,379.1,379.5,7717531.0,28837.05
2015-12-14,369.75,373.5,360.5,372.0,371.6,12682481.0,46708.99
2015-12-11,390.9,392.65,375.3,379.0,377.95,6537672.0,25046.74
2015-12-10,401.2,401.2,385.25,389.0,389.6,10684178.0,41705.33
2015-12-09,402.8,405.0,392.75,394.15,393.95,6103583.0,24259.52
2015-12-08,396.95,406.95,396.1,401.85,402.4,7851653.0,31739.84
2015-12-07,402.9,403.0,395.3,398.2,399.15,6156323.0,24550.81
2015-12-04,402.5,411.5,398.7,400.7,399.95,8477407.0,34307.2
2015-12-03,408.7,411.9,404.25,406.0,405.6,5999323.0,24439.53
2015-12-02,415.9,418.9,410.3,411.55,413.15,6543300.0,27169.23
2015-12-01,427.0,427.0,416.1,418.0,417.35,6402692.0,26918.65
